Year,Month,DayofMonth,DayofWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,Origin,Dest,Distance,Diverted,ArrDelay
2008,1,1,2,10,737,NW,336,274,LAX,DTW,1979,0,-3
2008,1,1,2,15,823,B6,172,299,SMF,JFK,2521,0,-19
2008,1,1,2,25,535,AA,622,182,SMF,DFW,1431,0,12
2008,1,1,2,25,709,DL,430,266,PHX,JFK,2153,0,-24
2008,1,1,2,30,444,AS,198,222,ANC,SEA,1449,0,24
2008,1,1,2,30,605,NW,314,223,LAX,MSP,1536,0,11
2008,1,1,2,30,825,B6,200,269,LAS,JFK,2248,0,-27
2008,1,1,2,30,831,B6,88,287,ONT,JFK,2430,0,-23
2008,1,1,2,35,420,B6,749,155,MCO,SJU,1189,0,-15
2008,1,1,2,35,603,CO,1743,198,SFO,IAH,1635,0,-12
2008,1,1,2,40,500,AA,1650,136,LAS,DFW,1055,0,-9
2008,1,1,2,40,530,AA,2408,171,LAX,DFW,1235,0,-1
2008,1,1,2,40,612,NW,362,209,SFO,MSP,1589,0,41
2008,1,1,2,40,640,CO,1823,219,SEA,IAH,1874,0,-21
2008,1,1,2,40,744,DL,544,241,LAX,CVG,1900,0,-7
2008,1,1,2,40,753,DL,858,238,SEA,CVG,1964,0,-18
2008,1,1,2,45,605,AA,1806,199,LAS,ORD,1515,0,39
2008,1,1,2,45,612,DL,1816,192,PHX,ATL,1587,0,-16
2008,1,1,2,50,523,AS,100,238,ANC,PDX,1542,0,24
2008,1,1,2,53,602,NW,596,185,PDX,MSP,1426,0,-11
2008,1,1,2,55,533,DL,502,154,DEN,ATL,1199,0,-10
2008,1,1,2,55,538,CO,1496,164,LAS,IAH,1222,0,-5
2008,1,1,2,55,603,NW,154,186,SEA,MSP,1399,0,-3
2008,1,1,2,55,624,B6,98,215,DEN,JFK,1626,0,4
2008,1,1,2,55,803,DL,560,229,LAX,ATL,1946,0,-4
2008,1,1,2,59,632,DL,1799,191,PHX,CVG,1569,0,-26
2008,1,1,2,100,516,CO,223,210,ANC,SEA,1449,0,5
2008,1,1,2,100,558,NW,774,183,LAS,MSP,1300,0,0
2008,1,1,2,100,608,NW,166,178,SEA,MSP,1399,0,11
2008,1,1,2,100,610,AA,2466,181,SFO,DFW,1464,0,-7
2008,1,1,2,108,740,DL,792,295,ANC,SLC,2125,0,46
2008,1,1,2,110,600,AA,2454,157,LAX,DFW,1235,0,13
2008,1,1,2,115,545,AS,80,230,ANC,SEA,1449,0,15
2008,1,1,2,130,557,AS,114,230,FAI,SEA,1533,0,22
2008,1,1,2,135,634,CO,1684,175,LAX,IAH,1379,0,-16
2008,1,1,2,145,623,DL,840,155,DEN,ATL,1199,0,-8
2008,1,1,2,146,917,US,634,348,ANC,PHX,2551,0,23
2008,1,1,2,220,641,CO,235,228,ANC,SEA,1449,0,15
2008,1,1,2,230,640,HA,17,380,LAS,HNL,2762,0,12
2008,1,1,2,300,607,CO,488,232,SJU,EWR,1608,0,-12
2008,1,1,2,325,623,B6,708,228,SJU,JFK,1597,0,57
2008,1,1,2,400,608,B6,724,161,BQN,MCO,1129,0,-23
2008,1,1,2,415,625,B6,768,176,PSE,MCO,1180,0,22
2008,1,1,2,435,620,B6,764,179,PSE,FLL,1032,0,16
2008,1,1,2,450,620,NW,795,92,MOT,MSP,449,0,10
2008,1,1,2,500,537,AQ,205,35,HNL,LIH,102,0,-9
2008,1,1,2,500,555,9E,3773,76,GRR,DTW,120,0,22
2008,1,1,2,500,556,OO,6516,60,FAT,LAX,209,0,36
2008,1,1,2,500,610,NW,138,75,GFK,MSP,284,0,7
2008,1,1,2,500,647,YV,2647,140,EWR,CLT,529,0,33
2008,1,1,2,500,710,B6,750,172,SJU,MCO,1189,0,-26
2008,1,1,2,500,733,US,86,175,MSP,PHX,1276,0,-41
2008,1,1,2,500,740,US,607,249,ORD,PHX,1440,0,234
2008,1,1,2,505,542,AQ,200,34,HNL,OGG,100,0,-7
2008,1,1,2,505,613,NW,500,50,FSD,MSP,197,0,9
2008,1,1,2,506,606,NW,1213,45,LSE,MSP,120,0,3
2008,1,1,2,510,601,AQ,40,48,HNL,ITO,216,0,-9
2008,1,1,2,515,558,HA,108,37,HNL,KOA,163,0,-11
2008,1,1,2,515,925,XE,2140,179,SLC,IAH,1195,0,-10
2008,1,1,2,520,557,HA,106,32,HNL,OGG,100,0,-10
2008,1,1,2,520,603,AQ,82,35,HNL,KOA,163,0,-8
2008,1,1,2,520,610,OO,6407,50,FAT,SFO,158,0,0
2008,1,1,2,520,612,NW,1428,65,DLH,MSP,144,0,9
2008,1,1,2,520,850,US,12,147,PDX,PHX,1009,0,15
2008,1,1,2,525,612,9E,2861,68,RST,MSP,76,0,16
2008,1,1,2,525,616,HA,102,46,HNL,ITO,216,0,-7
2008,1,1,2,525,652,US,1519,108,PIT,CLT,366,0,16
2008,1,1,2,525,702,US,1889,95,MCO,CLT,468,0,-5
2008,1,1,2,525,729,FL,266,167,FNT,ATL,644,0,74
2008,1,1,2,525,800,XE,2431,205,ORF,IAH,1201,0,-22
2008,1,1,2,525,823,XE,2429,173,MSP,IAH,1034,0,-4
2008,1,1,2,525,911,US,274,170,SEA,PHX,1107,0,-3
2008,1,1,2,530,607,HA,103,36,HNL,LIH,102,0,-4
2008,1,1,2,530,609,OO,5512,38,OXR,LAX,49,0,-1
2008,1,1,2,530,638,XE,2785,62,BTR,IAH,253,0,0
2008,1,1,2,530,639,CO,222,68,MSY,IAH,305,0,-3
2008,1,1,2,530,639,YV,2632,75,SAV,CLT,213,0,1
2008,1,1,2,530,655,US,1779,84,BOS,PHL,280,0,-9
2008,1,1,2,530,657,US,1916,87,BWI,CLT,361,0,5
